"id","title","description","input_description","output_description","samples","test_case_id","test_case_score","hint","languages","template","create_time","last_update_time","time_limit","memory_limit","spj","spj_language","spj_code","spj_version","rule_type","visible","difficulty","source","submission_number","accepted_number","created_by_id","_id","statistic_info","total_score","contest_id","is_public","spj_compile_ok","io_mode","share_submission"
121,"消消乐","<p>小明在玩一款新的消消乐游戏，游戏描述如下：</p><p>给定一个n*m的矩阵作为游戏棋盘，棋盘为四连通，棋盘上共有2种字符:</p><ul><li>‘c’: 表示该点可以连通</li><li>‘x’: 表示该点为障碍点</li></ul><p>游戏获得奖励有两种规则：</p><p>规则一：对于棋盘中的一点，若字符为‘c’，可以选择消去该点并获得奖励p；</p><p>规则二：对于棋盘上相邻的两点（即两点为上下或左右相邻），若字符都为‘c’，则可以选择消去这两点并获得奖励q。</p><p>现在给定n*m大小的棋盘和两种奖励p和q，求最优方案下你能获得的最大奖励。</p>","<p>第一行给定四个整数：$n,m,p,q(n,m \geq 1,n*m \leq 10,1 \leq p,q \leq 1e6)$</p><p>接下来n行，每行长度为m的字符串，表示棋盘，棋盘只有两种字符$&#039;c&#039;,&#039;x&#039;$。</p>","<p>一个整数表示你能获得的最大奖励。</p>","[{""input"": ""2 2 5 9\ncc\ncc"", ""output"": ""20""}, {""input"": ""1 4 5 11\ncccx"", ""output"": ""16""}]","181ab5801a45c5d4bb6df31fccbcbbac","[{""score"": 5, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 5, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 5, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 5, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 5, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 5, ""input_name"": ""6.in"", ""output_name"": ""6.out""}, {""score"": 5, ""input_name"": ""7.in"", ""output_name"": ""7.out""}, {""score"": 5, ""input_name"": ""8.in"", ""output_name"": ""8.out""}, {""score"": 5, ""input_name"": ""9.in"", ""output_name"": ""9.out""}, {""score"": 5, ""input_name"": ""10.in"", ""output_name"": ""10.out""}, {""score"": 5, ""input_name"": ""11.in"", ""output_name"": ""11.out""}, {""score"": 5, ""input_name"": ""12.in"", ""output_name"": ""12.out""}, {""score"": 5, ""input_name"": ""13.in"", ""output_name"": ""13.out""}, {""score"": 5, ""input_name"": ""14.in"", ""output_name"": ""14.out""}, {""score"": 5, ""input_name"": ""15.in"", ""output_name"": ""15.out""}, {""score"": 5, ""input_name"": ""16.in"", ""output_name"": ""16.out""}, {""score"": 5, ""input_name"": ""17.in"", ""output_name"": ""17.out""}, {""score"": 5, ""input_name"": ""18.in"", ""output_name"": ""18.out""}, {""score"": 5, ""input_name"": ""19.in"", ""output_name"": ""19.out""}, {""score"": 5, ""input_name"": ""20.in"", ""output_name"": ""20.out""}]","<p>样例一所有字符按规则一消去能够获得20的最大奖励。样例二对任意两个相邻字符按规则二，剩下的字符按规则一，可以获得16的最大奖励。</p>","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2019-03-24 07:21:27.078991+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",16,3,1,"I","{""0"": 3, ""-1"": 13}",0,13,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
122,"小华的游戏","<p>小华在玩一个迷宫游戏。他想快一点找到一条从起点到终点的路径，但是又懒得自己去做，于是就委托你帮他找一条最短的路线。</p>","<p>第一行两个整数n， m，为迷宫的长宽。接下来n行，每行m个数，数之间没有间隔，为0或1中的一个。0表示这个格子可以通过，1表示不可以。假设迷宫的起点固定为（1,1）,迷宫的出口固定为(n,m)。每次移动时只能向上下左右4个方向移动到另外一个可以通过的格子里，每次移动算一步。</p><p>$(1 \leq n,m \leq 500)$</p>","<p>第一行，为需要的最少步数K第二行K个字符，每个字符∈{U,D,L,R},分别表示上下左右。如果有多条长度相同的最短路径，选择在此表示方法下字典序最小的一个。</p>","[{""input"": ""3 3\n0 1 1\n0 0 0\n1 1 0\n"", ""output"": ""4\nDRRD\n""}]","e55eba2d20a8bea5f19a5b4ddf759cfc","[{""score"": 17, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 17, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 17, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 17, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 17, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 17, ""input_name"": ""6.in"", ""output_name"": ""6.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2019-03-24 07:23:17.389949+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",46,7,1,"H","{""0"": 7, ""1"": 3, ""-1"": 31, ""-2"": 5}",0,13,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
123,"素数","<p>我们知道，对于一个数$x(x != 1)$，用唯一分解定理可以表示为$p_1^{q1}p_2^{q2}...p_k^{qk} $（$p_i,q_i$分别表示素因子以及指数，k为该数不同素因子个数），定义该数的价值为$(q_1+1)(q_2+1)...(q_k+1)$，也就是该数的价值=该数的因子个数。</p><p>现在给定一个整数n，求1到n的所有整数的价值之和（定义1的价值为1）。由于结果很大，请对结果%(1e9+7)后作为最终答案输出。</p>","<p>一个整数n。($1 \leq n \leq 1e7$)</p>","<p>一个整数表示答案。</p>","[{""input"": ""10"", ""output"": ""27""}]","38b749fc750c82d519fd0bf3b33bd625","[{""score"": 5, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 5, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 5, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 5, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 5, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 5, ""input_name"": ""6.in"", ""output_name"": ""6.out""}, {""score"": 5, ""input_name"": ""7.in"", ""output_name"": ""7.out""}, {""score"": 5, ""input_name"": ""8.in"", ""output_name"": ""8.out""}, {""score"": 5, ""input_name"": ""9.in"", ""output_name"": ""9.out""}, {""score"": 5, ""input_name"": ""10.in"", ""output_name"": ""10.out""}, {""score"": 5, ""input_name"": ""11.in"", ""output_name"": ""11.out""}, {""score"": 5, ""input_name"": ""12.in"", ""output_name"": ""12.out""}, {""score"": 5, ""input_name"": ""13.in"", ""output_name"": ""13.out""}, {""score"": 5, ""input_name"": ""14.in"", ""output_name"": ""14.out""}, {""score"": 5, ""input_name"": ""15.in"", ""output_name"": ""15.out""}, {""score"": 5, ""input_name"": ""16.in"", ""output_name"": ""16.out""}, {""score"": 5, ""input_name"": ""17.in"", ""output_name"": ""17.out""}, {""score"": 5, ""input_name"": ""18.in"", ""output_name"": ""18.out""}, {""score"": 5, ""input_name"": ""19.in"", ""output_name"": ""19.out""}, {""score"": 5, ""input_name"": ""20.in"", ""output_name"": ""20.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2019-03-24 07:24:49.87149+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",11,1,1,"J","{""0"": 1, ""1"": 3, ""4"": 5, ""-1"": 2}",0,13,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
124,"斐波那契数列","<p>在数学上，斐波那契数列的定义为：$F(1)=1,F(2)=1,F(n)=F(n-1)+F(n-2)(n \geq 3,n∈N^*)$。</p><p>那么给定一个数n，你能判断它是不是斐波那契数列中的某项吗？</p><p>若是，输出“Yes”，否则输出“No”。</p>","<p>一个整数n。$ (1 \leq n \leq 1e9) $</p>","<p>输出一行字符串，&quot;Yes&quot;或者“No”。</p>","[{""input"": ""2"", ""output"": ""Yes""}]","fcd860fea91520e63216af5299c1332c","[{""score"": 10, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 10, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 10, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 10, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 10, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 10, ""input_name"": ""6.in"", ""output_name"": ""6.out""}, {""score"": 10, ""input_name"": ""7.in"", ""output_name"": ""7.out""}, {""score"": 10, ""input_name"": ""8.in"", ""output_name"": ""8.out""}, {""score"": 10, ""input_name"": ""9.in"", ""output_name"": ""9.out""}, {""score"": 10, ""input_name"": ""10.in"", ""output_name"": ""10.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2019-03-25 05:45:03.679421+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",150,21,1,"C","{""0"": 21, ""1"": 18, ""4"": 44, ""-1"": 35, ""-2"": 32}",0,13,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
125,"找零钱","<p>小华去学校超市买东西，由于没带手机，所以他只能用现金付款。</p><p>已知售货员需要找给他x元钱，可以用的找零有1元、2元、5元。由于钞票稀缺，所以5元只有a张，而1元只有1张，2元则有无限张，那么售货员最少需要拿出几张纸币呢？如果存在最优方案找出零钱，请输出这个数量；否则如果不存在一种方案，输出-1。</p>","<p>一行2个整数x，a分别表示要找的零钱以及有限的5元纸币数量。$ (1 \leq x,a \leq 100) $</p>","<p>一个整数表示答案。</p>","[{""input"": ""7 1"", ""output"": ""2""}]","1de7b43fdecfd7976369d4eff594d05a","[{""score"": 10, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 10, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 10, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 10, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 10, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 10, ""input_name"": ""6.in"", ""output_name"": ""6.out""}, {""score"": 10, ""input_name"": ""7.in"", ""output_name"": ""7.out""}, {""score"": 10, ""input_name"": ""8.in"", ""output_name"": ""8.out""}, {""score"": 10, ""input_name"": ""9.in"", ""output_name"": ""9.out""}, {""score"": 10, ""input_name"": ""10.in"", ""output_name"": ""10.out""}]","","[""C"", ""C++"", ""Java"", ""Python2"", ""Python3""]","{}","2019-03-25 07:06:22.362426+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",61,26,1,"B","{""0"": 26, ""1"": 3, ""4"": 2, ""-1"": 23, ""-2"": 7}",0,13,False,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
126,"输出华氏-摄氏温度转换表","<p>输入2个正整数lower和upper（lower≤upper≤100），请输出一张取值范围为[lower，upper]、且每次增加2华氏度的华氏-摄氏温度转换表。</p><p>温度转换的计算公式：C=5×(F−32)/9，其中：C表示摄氏温度，F表示华氏温度。</p>","<p>在一行中输入2个整数，分别表示lower和upper的值，中间用空格分开<br /></p>","<p>第一行输出：&quot;fahr celsius&quot;<br /></p><p style=""text-align: left;"">接着每行输出一个华氏温度fahr（整型）与一个摄氏温度celsius（占据6个字符宽度，靠右对齐，保留1位小数）。</p><p>若输入的范围不合法，则输出&quot;Invalid.&quot;。</p>","[{""input"": ""32 35\n"", ""output"": ""fahr celsius\n32   0.0\n34   1.1\n""}, {""input"": ""40 30\n"", ""output"": ""Invalid.\n""}]","a48ed2689afd64b4335a00c6874b211b","[{""score"": 20, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 20, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 20, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 20, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 20, ""input_name"": ""5.in"", ""output_name"": ""5.out""}]","","[""C""]","{}","2019-07-03 10:24:38.557357+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",119,19,1,"1","{""0"": 19, ""-1"": 100}",0,14,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
127,"计算分段函数","<p>计算下列分段函数f(x)的值：<br /></p><p><img alt=""image.png"" src=""/public/upload/5589a76c17.png"" width=""300"" height=""59.85401459854015"" /><br /></p><p>注：可在头文件中包含math.h，并调用sqrt函数求平方根，调用pow函数求幂。<br /></p>","<p>输入在一行中给出实数x。<br /></p>","<p>在一行中按“f(x) = result”的格式输出，其中x与result都保留两位小数。<br /></p>","[{""input"": ""10"", ""output"": ""f(10.00) = 3.16""}, {""input"": ""-0.5"", ""output"": ""f(-0.50) = -2.75""}]","98312d65fd10d3b2cd9b04c8a12196b8","[{""score"": 25, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 25, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 25, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 25, ""input_name"": ""4.in"", ""output_name"": ""4.out""}]","","[""C""]","{}","2019-07-03 10:28:54.792075+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",85,28,1,"2","{""0"": 28, ""4"": 1, ""-1"": 52, ""-2"": 4}",0,14,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
128,"天数计算","<p>输入某年某月某日，判断这几一天是这一年的第几天？</p>","<p>分别输入整数形式的某年某月某日</p>","<p>判断这一天是这一年的第几天，输出为整数形式<br /><br /></p>","[{""input"": ""2018 12 6"", ""output"": ""340""}, {""input"": ""2020 3 1"", ""output"": ""61""}]","ae015eb02cfd446004a20651577d046a","[{""score"": 17, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 17, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 17, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 17, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 17, ""input_name"": ""5.in"", ""output_name"": ""5.out""}, {""score"": 17, ""input_name"": ""6.in"", ""output_name"": ""6.out""}]","<p>注意：闰年的2月份是29天。<br /></p>","[""C""]","{}","2019-07-03 10:32:06.202501+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",109,18,1,"3","{""0"": 18, ""-1"": 86, ""-2"": 5}",0,14,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
129,"素数个数","<p>给定两个数m和n，求m和n之间的素数个数（包括m,n）,试编写相应程序。</p>","<p>依次输入两个整数m,n，m&lt;n。</p>","<p>输出m,n和n之间的个数，输出为整数形式。</p>","[{""input"": ""2 10\n"", ""output"": ""4""}]","d4eaa2f230241d1f6a8baecdfb5f70d7","[{""score"": 20, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 20, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 20, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 20, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 20, ""input_name"": ""5.in"", ""output_name"": ""5.out""}]","","[""C""]","{}","2019-07-03 10:34:34.427847+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",43,24,1,"4","{""0"": 24, ""-1"": 17, ""-2"": 2}",0,14,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
130,"方阵循环右移","<p>本题要求编写程序，将给定n×n方阵中的每个元素循环向右移m个位置，即将第0、1、⋯、n−1列变换为第n−m、n−m+1、⋯、n−1、0、1、⋯、n−m−1列。<br /></p>","<p>输入第一行给出两个正整数m和n（1≤n≤6）。接下来一共n行，每行n个整数，表示一个n阶的方阵。<br /></p>","<p>按照输入格式输出移动后的方阵：即输出n行，每行n个整数，每个整数后输出一个空格。<br /></p>","[{""input"": ""2 3\n1 2 3\n4 5 6\n7 8 9\n"", ""output"": ""2 3 1 \n5 6 4 \n8 9 7 \n""}]","f0dce15a91875e718472d17ac6094f77","[{""score"": 20, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 20, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 20, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 20, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 20, ""input_name"": ""5.in"", ""output_name"": ""5.out""}]","","[""C""]","{}","2019-07-03 10:36:44.804001+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Mid","",64,14,1,"5","{""0"": 14, ""1"": 9, ""4"": 14, ""-1"": 27}",0,14,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
131,"猜数字游戏","<p>猜数字游戏是令游戏机随机产生一个100以内的正整数，用户输入一个数对其进行猜测，需要你编写程序自动对其与随机产生的被猜数进行比较，并提示大了（“Too big”），还是小了（“Too small”），相等表示猜到了。如果猜到，则结束程序。程序还要求统计猜的次数，如果1次猜出该数，提示“Bingo!”；如果3次或者3次以内猜到该数，则提示“Lucky You!”；如果超过3次但是在N（&gt;3）次以内（包括第N次）猜到该数，则提示“Good Guess!”；如果超过N次都没有猜到，则提示“Game Over”，并结束程序。如果在到达N次之前，用户输入了一个负数，也输出“Game Over”，并结束程序。<br /></p>","<p>输入第一行中给出两个不超过100的正整数，分别是游戏机产生的随机数、以及猜测的最大次数N。最后每行给出一个用户的输入，直到出现负数为止。<br /></p>","<p>在一行中输出每次猜测相应的结果，直到输出猜对的结果或“Game Over”则结束。<br /></p>","[{""input"": ""58 4\n70\n50\n56\n58\n60\n-2\n"", ""output"": ""Too big\nToo small\nToo small\nGood Guess!\n""}]","ad2d03f556feac8e155ebab8a027d2d9","[{""score"": 20, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 20, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 20, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 20, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 20, ""input_name"": ""5.in"", ""output_name"": ""5.out""}]","","[""C""]","{}","2019-07-03 10:38:57.525209+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Mid","",90,15,1,"6","{""0"": 15, ""4"": 12, ""-1"": 62, ""-2"": 1}",0,14,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
132,"矩阵运算","<p>给定一个n×n的方阵，本题要求计算该矩阵除副对角线、最后一列和最后一行以外的所有元素之和。副对角线为从矩阵的右上角至左下角的连线。<br /></p>","<p>输入第一行给出正整数n（1&lt;n≤10）；随后n行，每行给出n个整数，其间以空格分隔。<br /></p>","<p>在一行中给出该矩阵除副对角线、最后一列和最后一行以外的所有元素之和。<br /></p>","[{""input"": ""4\n2 3 4 1\n5 6 1 1\n7 1 8 1\n1 1 1 1\n"", ""output"": ""35""}]","4c41e7b2578cb093c07c606437ee841b","[{""score"": 25, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 25, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 25, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 25, ""input_name"": ""4.in"", ""output_name"": ""4.out""}]","","[""C""]","{}","2019-07-03 10:40:33.271938+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",41,22,1,"7","{""0"": 22, ""2"": 3, ""4"": 2, ""-1"": 14}",0,14,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
133,"斐波那契数列","<p>给出一个n，求斐波那契数列第n项和第n-1项两数的最大公约数和最小公倍数（n&gt;=4）</p>","<p>输入一个正整数n</p>","<p>分别输出第n项和n-1的最大公约数和最小公倍数（整数形式）。</p>","[{""input"": ""6"", ""output"": ""1 40""}]","98b4c1451473d04cec42534f780c8a67","[{""score"": 20, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 20, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 20, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 20, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 20, ""input_name"": ""5.in"", ""output_name"": ""5.out""}]","<p>斐波那契数列 ： F（0）=0，F（1）=1，F（n）=F(n-1)+F(n-2)（n≥2，n∈N*）<br /></p><p>斐波那契数列是从第零项开始，数列表示为 0 1 1 2 3 5 8 13......当n=6，F(n)=8，F(n-1)=5。</p>","[""C""]","{}","2019-07-03 10:42:24.361884+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",11,0,1,"8","{""1"": 3, ""-1"": 8}",0,14,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
134,"输出华氏-摄氏温度转换表","<p>输入2个正整数lower和upper（lower≤upper≤100），请输出一张取值范围为[lower，upper]、且每次增加2华氏度的华氏-摄氏温度转换表。</p><p>温度转换的计算公式：C=5×(F−32)/9，其中：C表示摄氏温度，F表示华氏温度。</p>","<p>在一行中输入2个整数，分别表示lower和upper的值，中间用空格分开<br /></p>","<p>第一行输出：&quot;fahr celsius&quot;<br /></p><p style=""text-align: left;"">接着每行输出一个华氏温度fahr（整型）与一个摄氏温度celsius（占据6个字符宽度，靠右对齐，保留1位小数）。</p><p>若输入的范围不合法，则输出&quot;Invalid.&quot;。</p>","[{""input"": ""32 35\n"", ""output"": ""fahr celsius\n32   0.0\n34   1.1\n""}, {""input"": ""40 30\n"", ""output"": ""Invalid.\n""}]","a48ed2689afd64b4335a00c6874b211b","[{""score"": 20, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 20, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 20, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 20, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 20, ""input_name"": ""5.in"", ""output_name"": ""5.out""}]","","[""C""]","{}","2019-07-08 08:13:24.599753+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",False,"Low","",98,28,1,"1-57","{""0"": 28, ""4"": 5, ""-1"": 49, ""-2"": 16}",0,NULL,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
135,"计算分段函数","<p>计算下列分段函数f(x)的值：<br /></p><p><img alt=""image.png"" src=""/public/upload/5589a76c17.png"" width=""300"" height=""59.85401459854015"" /><br /></p><p>注：可在头文件中包含math.h，并调用sqrt函数求平方根，调用pow函数求幂。<br /></p>","<p>输入在一行中给出实数x。<br /></p>","<p>在一行中按“f(x) = result”的格式输出，其中x与result都保留两位小数。<br /></p>","[{""input"": ""10"", ""output"": ""f(10.00) = 3.16""}, {""input"": ""-0.5"", ""output"": ""f(-0.50) = -2.75""}]","98312d65fd10d3b2cd9b04c8a12196b8","[{""score"": 25, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 25, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 25, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 25, ""input_name"": ""4.in"", ""output_name"": ""4.out""}]","","[""C""]","{}","2019-07-08 08:13:32.289862+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",False,"Low","",84,28,1,"1-58","{""0"": 28, ""4"": 14, ""-1"": 37, ""-2"": 5}",0,NULL,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
136,"超速罚款","<p>按照规定，在高速公路上行使的机动车，达到或超出本车道限速的10%则处200元罚款；若达到或超出50%，就要吊销驾驶证。请编写程序根据车速和限速自动判别对该机动车的处理<br /></p>","<p>输入在一行中给出2个正整数，分别对应车速和限速，其间以空格分隔。<br /></p>","<p>在一行中输出处理意见：</p><p>若属于正常行驶，则输出“OK”；</p><p>若应处罚款，则输出“Exceed x%. Ticket 200”；</p><p>若应吊销驾驶证，则输出“Exceed x%. License Revoked”。其中x是超速的百分比，精确到整数。</p>","[{""input"": ""65 60"", ""output"": ""OK""}, {""input"": ""200 120"", ""output"": ""Exceed 67%. License Revoked\n""}]","8a6229bdcfc5539a240c24b22bfae42f","[{""score"": 25, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 25, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 25, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 25, ""input_name"": ""4.in"", ""output_name"": ""4.out""}]","<p>提示1：在c语言中，输出百分号用“%%”。<br /></p><p>提示2：四舍五入可采取结果+0.5后取整。</p>","[""C""]","{}","2019-07-08 08:14:09.553161+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",143,45,1,"1-59","{""0"": 45, ""-1"": 73, ""-2"": 25}",0,NULL,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
137,"打印菱形图案","<p>本题要求编写程序，打印一个高度为n的、由“*”组成的正菱形图案<br /></p>","<p>输入在一行中给出一个正的奇数n。</p>","<p>输出由n行星号“*”组成的菱形，如样例所示。每个星号后跟一个空格。</p>","[{""input"": ""7\n"", ""output"": ""      * \n    * * * \n  * * * * * \n* * * * * * * \n  * * * * * \n    * * * \n      * \n""}]","9a393fe24d1819ac9bcd3f08104f81b7","[{""score"": 33, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 33, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 33, ""input_name"": ""3.in"", ""output_name"": ""3.out""}]","","[""C""]","{}","2019-07-08 08:14:15.867468+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",True,"Low","",109,48,1,"1-60","{""0"": 48, ""4"": 1, ""-1"": 53, ""-2"": 7}",0,NULL,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
138,"方阵循环右移","<p>本题要求编写程序，将给定n×n方阵中的每个元素循环向右移m个位置，即将第0、1、⋯、n−1列变换为第n−m、n−m+1、⋯、n−1、0、1、⋯、n−m−1列。<br /></p>","<p>输入第一行给出两个正整数m和n（1≤n≤6）。接下来一共n行，每行n个整数，表示一个n阶的方阵。<br /></p>","<p>按照输入格式输出移动后的方阵：即输出n行，每行n个整数，每个整数后输出一个空格。<br /></p>","[{""input"": ""2 3\n1 2 3\n4 5 6\n7 8 9\n"", ""output"": ""2 3 1 \n5 6 4 \n8 9 7 \n""}]","f0dce15a91875e718472d17ac6094f77","[{""score"": 20, ""input_name"": ""1.in"", ""output_name"": ""1.out""}, {""score"": 20, ""input_name"": ""2.in"", ""output_name"": ""2.out""}, {""score"": 20, ""input_name"": ""3.in"", ""output_name"": ""3.out""}, {""score"": 20, ""input_name"": ""4.in"", ""output_name"": ""4.out""}, {""score"": 20, ""input_name"": ""5.in"", ""output_name"": ""5.out""}]","","[""C""]","{}","2019-07-08 08:14:24.142796+00",NULL,1000,256,False,NULL,NULL,NULL,"ACM",False,"Low","",89,33,1,"1-61","{""0"": 33, ""1"": 9, ""4"": 3, ""-1"": 39, ""-2"": 5}",0,NULL,True,False,"{""input"": ""input.txt"", ""output"": ""output.txt"", ""io_mode"": ""Standard IO""}",False
